"filename", "language", "JavaScript", "TypeScript React", "TypeScript", "comment", "blank", "total"
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Dash/1_components/Card copy.tsx", "TypeScript React", 0, 332, 0, 127, 50, 509
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Dash/1_components/Cube copy.tsx", "TypeScript React", 0, 289, 0, 114, 38, 441
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Dash/2_utils/compare.ts", "TypeScript", 0, 0, 27, 0, 2, 29
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Dash/Dash.tsx", "TypeScript React", 0, 341, 0, 191, 28, 560
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Header/3_utils/compare.ts", "TypeScript", 0, 0, 27, 0, 2, 29
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Header/Actions.tsx", "TypeScript React", 0, 42, 0, 1, 8, 51
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Header/Header.tsx", "TypeScript React", 0, 135, 0, 1, 19, 155
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Nav/Nav.tsx", "TypeScript React", 0, 214, 0, 0, 8, 222
"/Users/richardpitts/Documents/UB Media Portal/src/!Sections^/Panel/Panel.tsx", "TypeScript React", 0, 3, 0, 395, 0, 398
"/Users/richardpitts/Documents/UB Media Portal/src/%Utils^/compare.ts", "TypeScript", 0, 0, 27, 0, 2, 29
"/Users/richardpitts/Documents/UB Media Portal/src/%Utils^/isFound.ts", "TypeScript", 0, 0, 8, 0, 1, 9
"/Users/richardpitts/Documents/UB Media Portal/src/%Utils^/isHighlighted.ts", "TypeScript", 0, 0, 7, 0, 0, 7
"/Users/richardpitts/Documents/UB Media Portal/src/*Store^/Store.ts", "TypeScript", 0, 0, 44, 0, 4, 48
"/Users/richardpitts/Documents/UB Media Portal/src/@components^/Account.js", "JavaScript", 71, 0, 0, 39, 17, 127
"/Users/richardpitts/Documents/UB Media Portal/src/@components^/Auth.tsx", "TypeScript React", 0, 47, 0, 34, 10, 91
"/Users/richardpitts/Documents/UB Media Portal/src/@components^/Modal.js", "JavaScript", 382, 0, 0, 11, 59, 452
"/Users/richardpitts/Documents/UB Media Portal/src/@components^/pallete.js", "JavaScript", 0, 0, 0, 21, 4, 25
"/Users/richardpitts/Documents/UB Media Portal/src/pages/Dior/index.tsx", "TypeScript React", 0, 85, 0, 7, 10, 102
"/Users/richardpitts/Documents/UB Media Portal/src/pages/_app.tsx", "TypeScript React", 0, 6, 0, 0, 3, 9
"/Users/richardpitts/Documents/UB Media Portal/src/pages/_document.tsx", "TypeScript React", 0, 13, 0, 0, 2, 15
"/Users/richardpitts/Documents/UB Media Portal/src/pages/api/auth.js", "JavaScript", 5, 0, 0, 0, 1, 6
"/Users/richardpitts/Documents/UB Media Portal/src/pages/api/form.js", "JavaScript", 15, 0, 0, 8, 5, 28
"/Users/richardpitts/Documents/UB Media Portal/src/pages/api/hello.ts", "TypeScript", 0, 0, 10, 1, 3, 14
"/Users/richardpitts/Documents/UB Media Portal/src/pages/index.tsx", "TypeScript React", 0, 16, 0, 1, 3, 20
"Total", "-", 473, 1523, 150, 951, 279, 3376